user,cluster
2,12
4,12
5,13
7,2
8,2
9,16
12,15
16,3
17,2
19,2
20,2
21,2
22,2
23,6
25,16
26,2
27,2
28,3
29,2
30,6
33,2
34,2
35,2
36,2
38,19
39,17
40,2
41,2
42,2
43,2
44,2
45,2
46,16
47,2
48,2
49,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,17
59,2
60,2
61,14
62,2
63,14
64,2
65,2
66,2
67,2
68,2
78,2
79,2
80,2
93,2
102,2
103,2
104,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
116,18
117,2
118,2
119,2
120,2
121,2
122,2
123,6
125,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
146,2
147,2
154,2
452,17
589,6
704,0
768,2
866,19
1321,2
1383,16
1804,2
1938,0
2191,8
2674,2
3087,16
3264,2
3450,9
4930,0
5053,17
5555,2
6002,6
6092,2
6449,6
6847,2
6868,2
7233,19
7359,2
7420,8
7438,17
7442,2
7458,8
7575,6
7702,15
7764,4
7789,18
7909,5
7928,19
8030,10
8059,18
8075,10
8805,2
9954,19
10215,19
10694,6
11633,19
12273,1
12462,19
12833,2
12834,2
13224,2
13365,2
13944,17
14010,17
14030,8
14322,2
14392,2
14811,2
15055,8
15508,2
15577,19
15662,16
16030,6
16164,7
16941,17
16951,17
16963,16
16982,2
18040,18
18169,16
18508,2
19496,2
19661,16
20292,8
20833,16
20948,6
21475,6
21577,12
21709,18
21750,14
22492,8
22708,2
23641,2
23794,2
23877,4
24234,16
24632,2
24743,7
24868,2
25618,2
26339,16
26454,17
26609,2
28895,2
29733,2
29962,19
30031,14
30155,2
30281,19
30958,6
31000,15
31054,2
32009,8
32318,2
32331,2
32444,16
32658,6
32917,3
32936,17
32975,19
33218,2
33357,16
33474,17
33565,3
34038,2
34074,12
34572,3
35928,8
36235,2
36321,14
36485,2
36585,15
37444,2
37451,16
37465,16
37688,19
37892,2
37936,16
38699,2
38951,2
39340,2
39919,17
40303,14
40562,2
40661,2
41727,16
41881,2
42044,2
42266,2
42433,19
42528,2
43309,1
43341,4
43567,6
43704,16
44318,2
44500,1
44577,2
44857,0
45457,6
45929,15
46170,6
46272,19
46326,6
46628,18
47459,17
47460,6
47574,17
48871,17
49313,2
49319,2
49400,19
49508,19
50348,2
50494,16
50667,16
50831,12
51452,2
51937,15
52091,2
52262,17
52917,16
53270,16
53345,17
54439,11
55117,2
55937,2
55958,1
56047,2
